index,text
64,"RT RETHAMonicaa Jgn percaya dgn hoax 

Vaksin covid Sinovac tidak mengandung sel Vero berbahaya

Vaksin Solusi Atasi Pandemi
"
65,"RT AryatamaAditya Vaksin covid Sinovac bukan hanya untuk uji klinis dan tidak mengandung sel Vero berbahaya

Hatihati dengan HOAX"
66,Gong vaksinasi COVID untuk  juta penduduk Indonesia sudah ditabuhkan yang ditandai dengan pemberian vaksin httpstcohrnTbB
67,"RT RETHAMonicaa Jgn percaya dgn hoax 

Vaksin covid Sinovac tidak mengandung sel Vero berbahaya

Vaksin Solusi Atasi Pandemi
"
68,"RT RETHAMonicaa Jgn percaya dgn hoax 

Vaksin covid Sinovac tidak mengandung sel Vero berbahaya

Vaksin Solusi Atasi Pandemi
"
69,"RT RETHAMonicaa Jgn percaya dgn hoax 

Vaksin covid Sinovac tidak mengandung sel Vero berbahaya

Vaksin Solusi Atasi Pandemi
"
70,"RT RETHAMonicaa Jgn percaya dgn hoax 

Vaksin covid Sinovac tidak mengandung sel Vero berbahaya

Vaksin Solusi Atasi Pandemi
"
71,"RT RETHAMonicaa Jgn percaya dgn hoax 

Vaksin covid Sinovac tidak mengandung sel Vero berbahaya

Vaksin Solusi Atasi Pandemi
"
72,"RT denniloyz JANGAN RAGU DIVAKSIN
Vaksin covid Sinovac memiliki efikasi  di atas standar yang ditetapkan WHO minimal 

V"
73,"RT RETHAMonicaa Jgn percaya dgn hoax 

Vaksin covid Sinovac tidak mengandung sel Vero berbahaya

Vaksin Solusi Atasi Pandemi
"
74,"RT AryatamaAditya Vaksin covid Sinovac bukan hanya untuk uji klinis dan tidak mengandung sel Vero berbahaya

Hatihati dengan HOAX"
75,"RT AryatamaAditya Vaksin covid Sinovac bukan hanya untuk uji klinis dan tidak mengandung sel Vero berbahaya

Hatihati dengan HOAX"
76,"RT RETHAMonicaa Jgn percaya dgn hoax 

Vaksin covid Sinovac tidak mengandung sel Vero berbahaya

Vaksin Solusi Atasi Pandemi
"
77,RT detikcom Terpopuler Sebanyak  relawan uji klinis kandidat vaksin dari Sinovac terkonfirmasi positif COVID Bagaimana bisa Vaks
78,"RT RETHAMonicaa Jgn percaya dgn hoax 

Vaksin covid Sinovac tidak mengandung sel Vero berbahaya

Vaksin Solusi Atasi Pandemi
"
79,"RT RETHAMonicaa Jgn percaya dgn hoax 

Vaksin covid Sinovac tidak mengandung sel Vero berbahaya

Vaksin Solusi Atasi Pandemi
"
80,"RT RETHAMonicaa Jgn percaya dgn hoax 

Vaksin covid Sinovac tidak mengandung sel Vero berbahaya

Vaksin Solusi Atasi Pandemi
"
81,"RT RETHAMonicaa Jgn percaya dgn hoax 

Vaksin covid Sinovac tidak mengandung sel Vero berbahaya

Vaksin Solusi Atasi Pandemi
"
82,"RT RETHAMonicaa Jgn percaya dgn hoax 

Vaksin covid Sinovac tidak mengandung sel Vero berbahaya

Vaksin Solusi Atasi Pandemi
"
83,"RT RETHAMonicaa Jgn percaya dgn hoax 

Vaksin covid Sinovac tidak mengandung sel Vero berbahaya

Vaksin Solusi Atasi Pandemi
"
84,RT detikHealth Tim uji klinis vaksin Sinovac di Bandung mengungkap ada  relawan yang terinfeksi COVID sebagian di antaranya adalah
85,"RT AryatamaAditya Vaksin covid Sinovac bukan hanya untuk uji klinis dan tidak mengandung sel Vero berbahaya

Hatihati dengan HOAX"
86,RT CNNIndonesia Alasan  Relawan Vaksin Sinovac Tetap Terkena Covid httpstcovVAOkPMUr
87,"RT RETHAMonicaa Jgn percaya dgn hoax 

Vaksin covid Sinovac tidak mengandung sel Vero berbahaya

Vaksin Solusi Atasi Pandemi
"
88,"RT RETHAMonicaa Jgn percaya dgn hoax 

Vaksin covid Sinovac tidak mengandung sel Vero berbahaya

Vaksin Solusi Atasi Pandemi
"
89,"Jgn percaya dgn hoax 

Vaksin covid Sinovac tidak mengandung sel Vero berbahaya

Vaksin Solusi Atasi Pand httpstcofoiURA"
90,RT AlbertSolo Boss WHO mengingatkan agar Indonesia untuk tidak langsung mewajibkan warganya untuk melakukan vaksinasi Covid mengingat
91,Boss WHO mengingatkan agar Indonesia untuk tidak langsung mewajibkan warganya untuk melakukan vaksinasi Covid me httpstcogbXCwd
92,"RT idtodayco Sebut Vaksin Covid  Sinovac Barang Rongsokan Politisi PDIP Ribka Tjiptaning Ini Dirotasi
httpstcoQswCWfYlU"
93,"RT AryatamaAditya Vaksin covid Sinovac bukan hanya untuk uji klinis dan tidak mengandung sel Vero berbahaya

Hatihati dengan HOAX"
94,RT CNNIndonesia Alasan  Relawan Vaksin Sinovac Tetap Terkena Covid httpstcovVAOkPMUr
95,"Vaksin covid Sinovac bukan hanya untuk uji klinis dan tidak mengandung sel Vero berbahaya

Hatihati dengan HOA httpstcooUayUBtAR"
96,RT ClickBandung Tim uji klinis vaksin Sinovac di Bandung mengungkap ada  relawan yang terinfeksi COVID Begini faktanya  httpstc
